VARIABLE_MAP,NETCDF_NAME,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL
LOCAL_SUN_TIME.json,LOCAL_SUN_TIME,LOCAL_SUN_TIME,hour,1,-999999
LATITUDE.json,LATITUDE,LATITUDE,degs,1,-999999
JDAY.json,JDAY,JDAY,days,1,-999999
,,INDEX,none,1,-999999
iC5H12_MoleFraction_PFP.json,iC5H12_MoleFraction_PFP,iC5H12_MoleFraction_PFP,ppt,1,-999999
iC4H10_MoleFraction_PFP.json,iC4H10_MoleFraction_PFP,iC4H10_MoleFraction_PFP,ppt,1,-999999
IAS.json,IAS,IAS,m/s,1,-999999
HF22_MoleFraction_PFP.json,HF22_MoleFraction_PFP,HF22_MoleFraction_PFP,ppt,1,-999999
HF133a_MoleFraction_PFP.json,HF133a_MoleFraction_PFP,HF133a_MoleFraction_PFP,ppt,1,-999999
HDG.json,HDG,HDG,degs,1,-999999
,,H2O_VolMixingRatio_PICARRO,%,1,-999999
,,H2O_VaporPressure_PICARRO,hPa,1,-999999
H2O_VaporPressure_Nav.json,H2O_VaporPressure_Nav,H2O_VaporPressure_Nav,hPa,1,-999999
H2O_VaporPressure_Nav.json,H2O_VaporPressure_Nav,H2O_VaporPressure,hPa,1,-999999
H2O_SatVaporPressureWater_Nav.json,H2O_SatVaporPressureWater_Nav,H2O_SatVaporPressureWater_Nav,hPa,1,-999999
H2O_SatVaporPressureWater_Nav.json,H2O_SatVaporPressureWater_Nav,H2O_SatVaporPressureWater,hPa,1,-999999
H2O_SatVaporPressureIce_Nav.json,H2O_SatVaporPressureIce_Nav,H2O_SatVaporPressureIce_Nav,hPa,1,-999999
H2O_SatVaporPressureIce_Nav.json,H2O_SatVaporPressureIce_Nav,H2O_SatVaporPressureIce,hPa,1,-999999
H2O_RelativeHumidity_Nav.json,H2O_RelativeHumidity_Nav,H2O_RelativeHumidity_Nav,%,1,-999999
H2O_MixingRatio_Nav.json,H2O_MixingRatio_Nav,H2O_RelativeHumidity,%,1,-999999
,,H2O_MixingRatio_Nav,g kg-1,1,-999999
,,H2O_MixingRatio,g kg-1,1,-999999
,,H2O_MassMixingRatio_PICARRO,g kg-1,1,-999999
H2402_MoleFraction_PFP.json,H2402_MoleFraction_PFP,H2402_MoleFraction_PFP,ppt,1,-999999
H2_MoleFraction_PFP.json,H2_MoleFraction_PFP,H2_MoleFraction_PFP,ppb,1,-999999
H1301_MoleFraction_PFP.json,H1301_MoleFraction_PFP,H1301_MoleFraction_PFP,ppt,1,-999999
H1211_MoleFraction_PFP.json,H1211_MoleFraction_PFP,H1211_MoleFraction_PFP,ppt,1,-999999
,,GroundHeight-AMSL_CPL,km,1,-999999
,,GroundHeight_CPL,km,1,-999999
GroundElevation-AMSL_GoogleMaps.json,GroundElevation-AMSL_GoogleMaps,GroundElevation-AMSL_GoogleMaps,km,1,-999999
,,Ground_Elevation,km,1,-999999
GRD_SPD.json,GRD_SPD,GRD_SPD,m/s,1,-999999
GPS_ALT.json,GPS_ALT,GPS_ALT,km,1,-999999
,,FLIGHT,none,1,-999999
FC12_MoleFraction_PFP.json,FC12_MoleFraction_PFP,FC12_MoleFraction_PFP,ppt,1,-999999
F365m_MoleFraction_PFP.json,F365m_MoleFraction_PFP,F365m_MoleFraction_PFP,ppt,1,-999999
F32_MoleFraction_PFP.json,F32_MoleFraction_PFP,F32_MoleFraction_PFP,ppt,1,-999999
F236fa_MoleFraction_PFP.json,F236fa_MoleFraction_PFP,F236fa_MoleFraction_PFP,ppt,1,-999999
F23_MoleFraction_PFP.json,F23_MoleFraction_PFP,F23_MoleFraction_PFP,ppt,1,-999999
F227e_MoleFraction_PFP.json,F227e_MoleFraction_PFP,F227e_MoleFraction_PFP,ppt,1,-999999
F152A_MoleFraction_PFP.json,F152A_MoleFraction_PFP,F152A_MoleFraction_PFP,ppt,1,-999999
F143a_MoleFraction_PFP.json,F143a_MoleFraction_PFP,F143a_MoleFraction_PFP,ppt,1,-999999
F134A_MoleFraction_PFP.json,F134A_MoleFraction_PFP,F134A_MoleFraction_PFP,ppt,1,-999999
F13_MoleFraction_PFP.json,F13_MoleFraction_PFP,F13_MoleFraction_PFP,ppt,1,-999999
F125_MoleFraction_PFP.json,F125_MoleFraction_PFP,F125_MoleFraction_PFP,ppt,1,-999999
F11B_MoleFraction_PFP.json,F11B_MoleFraction_PFP,F11B_MoleFraction_PFP,ppt,1,-999999
F115_MoleFraction_PFP.json,F115_MoleFraction_PFP,F115_MoleFraction_PFP,ppt,1,-999999
F113_MoleFraction_PFP.json,F113_MoleFraction_PFP,F113_MoleFraction_PFP,ppt,1,-999999
DriftAngle.json,DriftAngle,DriftAngle,degs,1,-999999
DifferentialPressure.json,DifferentialPressure,DifferentialPressure,hPa,1,-999999
DICL_MoleFraction_PFP.json,DICL_MoleFraction_PFP,DICL_MoleFraction_PFP,ppt,1,-999999
DIBR_MoleFraction_PFP.json,DIBR_MoleFraction_PFP,DIBR_MoleFraction_PFP,ppt,1,-999999
,,Dewpoint_PICARRO,K,1,-999999
Dewpoint.json,Dewpoint,Dewpoint_Nav,K,1,-999999
Dewpoint.json,Dewpoint,Dewpoint,K,1,-999999
CO2C14_MoleFraction_PFP.json,CO2C14_MoleFraction_PFP,CO2C14_PFP,per mil,1,-999999
CO2C14_MoleFraction_PFP.json,CO2C14_MoleFraction_PFP,CO2C14_MoleFraction_PFP,permil,1,-999999
CO2_MoleFraction_PFP.json,CO2_MoleFraction_PFP,CO2_MoleFraction_PFP,ppm,1,-999999
CO2_DryMoleFrac_PICARRO.json,CO2_MixingRatio_PICARRO,CO2_MixingRatio_PICARRO,ppmv,1,-999999
CO2_DryMoleFrac_PICARRO.json,CO2_MixingRatio_PICARRO,CO2_DryMoleFrac_PICARRO,ppm,1,-999999
CO_MoleFraction_PFP.json,CO_MoleFraction_PFP,CO_MoleFraction_PFP,ppb,1,-999999
CO_DryMoleFrac_PICARRO.json,CO_MixingRatio_PICARRO,CO_MixingRatio_PICARRO,ppmv,1,-999999
CO_DryMoleFrac_PICARRO.json,CO_MixingRatio_PICARRO,CO_DryMoleFrac_PICARRO,ppm,1,-999999
CHLF_MoleFraction_PFP.json,CHLF_MoleFraction_PFP,CLHF_MoleFraction_PFP,ppt,1,-999999
CHLF_MoleFraction_PFP.json,CHLF_MoleFraction_PFP,CHLF_MoleFraction_PFP,ppt,1,-999999
CH4C13_MoleFraction_PFP.json,CH4C13_MoleFraction_PFP,CH4C13_PFP,per mil,1,-999999
CH4C13_MoleFraction_PFP.json,CH4C13_MoleFraction_PFP,CH4C13_MoleFraction_PFP,permil,1,-999999
CH4_MoleFraction_PFP.json,CH4_MoleFraction_PFP,CH4_MoleFraction_PFP,ppb,1,-999999
CH4_DryMoleFrac_PICARRO.json,CH4_DryMoleFrac_PICARRO,CH4_MixingRatio_PICARRO,ppmv,1,-999999
CH4_DryMoleFrac_PICARRO.json,CH4_DryMoleFrac_PICARRO,CH4_DryMoleFrac_PICARRO,ppm,1,-999999
CH3I_MoleFraction_PFP.json,CH3I_MoleFraction_PFP,CH3I_MoleFraction_PFP,ppt,1,-999999
CH2BrCl_MoleFraction_PFP.json,CH2BrCl_MoleFraction_PFP,CH2BrCl_MoleFraction_PFP,ppt,1,-999999
CF4_MoleFraction_PFP.json,CF4_MoleFraction_PFP,CF4_MoleFraction_PFP,ppt,1,-999999
CabinPressure.json,CabinPressure,CabinPressure,hPa,1,-999999
C3H8_MoleFraction_PFP.json,C3H8_MoleFraction_PFP,C3H8_MoleFraction_PFP,ppt,1,-999999
,,C2H6_MoleFraction_PFP,ppt,1,-999999
C2H6_MoleFraction_PFP.json,C2H6_MoleFraction_PFP,C2H6_MixingRatio_CAMS2,ppbv,1,-999999
C2H6_MixingRatio_CAMS2.json,C2H6_MixingRatio_CAMS2,C2H6_CAMS2,ppbv,1,-999999
C2H2_MoleFraction_PFP.json,C2H2_MoleFraction_PFP,C2H2_MoleFraction_PFP,ppt,1,-999999
C2F6_MoleFraction_PFP.json,C2F6_MoleFraction_PFP,C2F6_MoleFraction_PFP,ppt,1,-999999
BENZ_MoleFraction_PFP.json,BENZ_MoleFraction_PFP,BENZ_MoleFraction_PFP,ppt,1,-999999
ALTP.json,ALTP,ALTP,km,1,-999999
Altitude-AGL_GoogleMaps.json,Altitude_AGL,Altitude-AGL_GoogleMaps,km,1,-999999
Altitude_AGL.json,Altitude_AGL,Altitude_AGL,km,1,-999999
AircraftSunElevation.json,AircraftSunElevation,AircraftSunElevation,degs,1,-999999
AircraftSunAzimuth.json,AircraftSunAzimuth,AircraftSunAzimuth,degs,1,-999999
